code,ticker,conm,n
01460590,WPP,WPP PLC,42
01461190,UNEWY,UBM PLC,43
01489490,VOD,VODAFONE GROUP PLC,44
01497790,CM.2,COLES GROUP LTD - OLD,45
01510390,CGA.1,CORUS GROUP PLC,46
01510590,HKT.2,CABLE & WIRELESS HKT LTD,47
01518190,BBVA,BBVA,48
01536290,WBK,WESTPAC BANKING,49
01544490,CRH,CRH PLC,50
01550990,HSBC,HSBC HLDGS PLC,51
01559890,AEG,AEGON NV,52
01561391,NMR,NOMURA HOLDINGS INC,53
01561790,ING,ING GROEP NV,54
01562790,MBK.1,BANK TOKYO-MITSUBISHI,55
01563490,RBS.1,NATWEST GROUP PLC,56
01563494,RBS.PG.1,NATWEST GROUP PLC,57
01563496,RBS.PC,NATWEST GROUP PLC,58
01563499,NWG,NATWEST GROUP PLC,59
01566890,IX,ORIX CORP,60
01567290,UBS.2,UBS AG-OLD,61
01578290,PUK,PRUDENTIAL PLC,62
01592990,LYG,LLOYDS BANKING GROUP PLC,63
01601190,YY,JOYY INC -ADR,64
01643690,CWP,CABLE & WIRELESS COMM PLC,65
01668790,CLTX.2,CELSUS THERAPEUTICS PLC -ADR,66
01722590,TKS.1,PINAFORE HOLDINGS BV,67
01728790,SBSW,SIBANYE-STILLWATER LIMITED,68
01780790,LITB,LIGHTINTHEBOX HLDG  -ADR,69
01789790,QIWI,QIWI PLC,70
01794790,GFI,GOLD FIELDS LTD,71
01836990,FFS.A,TENON LTD,72
01836992,FFS,TENON LTD,73
01837590,FLP,FLETCHER CHALLENGE PAPER,74
01863690,DEO,DIAGEO PLC,75
01874890,VJET,VOXELJET AG,76
01875090,CRTO,CRITEO SA,77
01875690,LSO.2,ENI LASMO PLC,78
01887190,QUNR,QUNAR CAYMAN ISLANDS  -ADR,79
01902690,WUBA,58.COM INC  -ADR,80
01904090,GOMO,SUNGY MOBILE LTD  -ADR,81
01904290,WBAI,500.COM LTD  -ADR,82
01929590,ATHM,AUTOHOME INC,83
01936490,ELF.1,ELF AQUITAINE SA,84
01954090,TI.1,TELECOM ITALIA SPA- OLD,85
01954091,TI.2,TELECOM ITALIA SPA- OLD,86
01956590,RIO,RIO TINTO GROUP,87
01961390,RANKY,RANK GROUP PLC,88
01962590,TFONY,TELMEX-TELEFONOS DE MEXICO,89
01962591,TMX.,TELMEX-TELEFONOS DE MEXICO,90
01966190,TM,TOYOTA MOTOR CORP,91
01974490,JD,JD.COM INC,92
01982490,AU,ANGLOGOLD ASHANTI LTD,93
01990990,KANG,IKANG HEALTHCARE GROUP -ADR,94
02000490,WB,WEIBO CORP,95
02000990,LEJU,LEJU HOLDINGS LTD  -ADR,96
02004190,TEDU,TARENA INTL INC  -ADR,97
02006790,IHG,INTERCONTINENTAL HOTELS GRP,98
02012890,CMCM,CHEETAH MOBILE INC  -ADR,99
02012990,MTLS,MATERIALISE NV  -ADR,100
02017090,TOUR,TUNIU CORP  -ADR,101
02033190,JMEI,JUMEI INTL HOLDING LTD  -ADR,102
02052690,ZPIN,ZHAOPIN LTD  -ADR,103
02053090,BABA,ALIBABA GROUP HLDG,104
02095190,INNL.1,INNOCOLL HOLDINGS PLC,105
02104990,DSKY,IDREAMSKY TECHNOLOGY  -ADR,106
02138293,ANB.PC,SANTANDER UK PLC,107
02145290,FWP,FORWARD PHARMA A/S  -ADR,108
02181490,SKYS,SKY SOLAR HLDGS LTD -ADR,109
02211190,EHIC,EHI CAR SERVICES LTD -ADR,110
02216490,MOMO,MOMO INC  -ADR,111
02226690,AAAP,ADVANCED ACCELERATR APP -ADR,112
02260490,ASND,ASCENDIS PHARMA AS,113
02267590,HLG,HAILIANG EDUCATION GRP -ADR,114
02286490,MFH,MERCURITY FNTCH HLD INC -ADR,115
02348391,ICM.1,INTL DE CERAMICA SA DE CV,116
02353490,VDTH,VIDEOCON D2H LTD  -ADR,117
02357490,ADAP,ADAPTIMMUNE THERAPEUTICS,118
02367190,NOK,NOKIA CORP,119
02370390,BZUN,BAOZUN INC,120
02384890,BPC.2,BANCO COMERCIAL PORTUGUES SA,121
02442690,XPEV,XPENG INC,122
02445490,MDV.1,MEDEVA PLC,123
02452590,JP,JUPAI HOLDINGS LTD -ADR,124
02458990,IMI.2,SAN PAOLO-IMI SPA,125
02462590,TOT,TOTAL SE,126
02536590,TMM.L,GRUPO TMM S.A.B,127
02554690,PVLS,PROVALIS PLC,128
02571491,SHG,SHINHAN FINANCIAL GROUP LTD,129
02575390,CCU,COMPANIA CERVECERIAS UNIDAS,130
02585090,TRIB,TRINITY BIOTECH PLC,131
02590392,TBH,TELEBRAS-TELECOM BRASILEIRAS,132
02614890,NBRV.1,NABRIVA THERAPEUTICS PLC,133
02620490,AKTX,AKARI THERAPEUTICS PLC -ADR,134
02637690,BGNE,BEIGENE LTD,135
02653790,YRD,YIREN DIGITAL LTD -ADR,136
02679290,SUPV,GRUPO SUPERVIELLE,137
02712390,YIN,YINTECH INVST HLDGS LTD -ADR,138
02714190,ENIC,ENEL CHILE SA,139
02714290,EOCA,ENDESA AMERICAS SA,140
02729990,COE,CHINA ONLINE EDUCATN GP -ADR,141
02749090,LN,LINE CORP,142
02763690,TLND,TALEND SA  -ADR,143
02792290,GSUM,GRIDSUM HOLDING INC  -ADR,144
02802790,AMRN,AMARIN CORP,145
02825590,AGR.2,ARGENTARIA CAJA POST BANC HP,146
02826290,NTZ,NATUZZI SPA,147
02827290,AZN,ASTRAZENECA PLC,148
02832190,FLH,FILA HOLDINGS SPA,149
02842390,ZTO,ZTO EXPRESS CAYMAN INC,150
02845390,MYS.1,MASISA SA,151
02847590,GDS,GDS HOLDINGS LIMITED,152
02852090,YPF,YACIMIENTOS PETE FISCALES SA,153
02853590,SIM,GRUPO SIMEC SA DE CV,154
02865390,SHI,SINOPEC SHANGHAI PETROCHEM,155
02883890,CS,CREDIT SUISSE GROUP,156
02884490,KOF,COCA-COLA FEMSA SAB DE CV,157
02888390,SQM,SOC QUIMICA Y MINERA DE CHI,158
02891390,AJL,AMWAY JAPAN LTD,159
02903990,ENIA,ENEL AMERICAS SA,160
02917891,TAR,TELEFONICA DE ARGENTINA SA,161
02919490,TEO,TELECOM ARGENTINA,162
02928690,BBAR,BANCO BBVA ARGENTINA SA,163
02937890,BEST,BEST INC ADS,164
02953790,TRVG,TRIVAGO N.V. -ADR,165
02962290,CGW.3,CRISTALCHILE-CRISTALER CHILE,166
02985091,TV,GRUPO TELEVISA SAB,167
03021890,BSAC,BANCO SANTANDER-CHILE,168
03033190,CEL.Y,GRUPO IUSACELL SA,169
03033191,CEL.2,GRUPO IUSACELL SA,170
03040590,LBC.1,LABORATORIO CHILE SA,171
03043691,AKO.A,EMBOTELLADORA ANDINA SA,172
03043692,AKO.B,EMBOTELLADORA ANDINA SA,173
03045291,BBDO,BRADESCO BANCO,174
03046290,DES.2,GRUPO KUO SAB DE CV,175
03047190,CHR.2,AES GENER SA,176
03050191,KB,KB FINANCIAL GROUP,177
03057090,SH.3,SHANDONG HUANENG POWER DEV,178
03074790,HNP,HUANENG POWER INTERNATIONAL,179
03080690,FBR,FIBRIA CELULOSE SA,180
03083891,TGS,TRANSPORTADORA DE GAS SUR,181
03087490,KEP,KEPCO-KOREA ELEC POWER CORP,182
03091290,BSB.1,BANCO SANTANDER CHILE SA,183
03098690,PVD,AFP PROVIDA SA,184
03101090,MGS.2,METROGAS SA,185
03106090,XRF.1,CHINA RAPID FNC- ADR -OLD,186
03114290,STM,STMICROELECTRONICS NV,187
03120590,FMX,FOMENTO ECONOMICO MEXICANO,188
03131790,BEDU,BRIGHT SCHOLAR EDU-ADR,189
03171790,IRS,IRSA INVERSIONES Y REPSTN SA,190
03172090,SKIL,SSI INVESTMENTS II LTD,191
03233490,ZLAB,ZAI LAB LTD,192
03236690,SECO,SECOO HOLDING LTD -ADS,193
03237190,RYB,RYB EDUCATION INC,194
03237890,NITE,NIGHTSTAR THRPUTC -ADS,195
03238190,NCNA,NUCANA PLC -ADS,196
03245390,QD,QUDIAN INC,197
03254590,REDU,RISE EDN CYN LTD -ADS,198
03254690,SE,SEA LTD - ADR,199
03261590,FEDU,FOUR SEASONS EDN -ADR,200
03262590,FINV,FINVOLUTION GROUP -ADR,201
03263990,SOGO,SOGOU INC,202
03265490,JT,JIANPU TECH -ADR,203
03267290,HX,XIAOBAI MAIMAI INC,204
03267790,LOV,SPARK NETWORKS SE,205
03274190,ICLK,ICLICK INTRC ASIA -ADR,206
03275090,LX,LEXINFINTECH HLDG -ADR,207
03291290,DXF,DUNXIN FINANCIAL HOLDINGS,208
03293690,HMI,HUAMI CORP -ADS,209
03316190,STG,SUNLANDS TECH GRP -ADS,210
03318690,BILI,BILIBILI INC -ADS,211
03318790,ONE,ONESMRT IN ED GR -ADS,212
03324290,GHG,GREENTREE HPTY GP -ADS,213
03325490,IQ,IQIYI INC -ADR,214
03348790,HUYA,HUYA INC -ADS,215
03361690,NEW,PUXIN LTD -ADS,216
03363590,AUTL,AUTOLUS THERAPEUTICS -ADR,217
03369790,UXIN,UXIN LTD -ADR,218
03382590,PT,PINTEC TCHN HLDN -ADR,219
03385090,OPRA,OPERA LTD -ADR,220
03385290,JG,AURORA MOBILE -ADR,221
03385990,CANG,CANGO INC,222
03386190,PDD,PINDUODUO INC -ADR,223
03391390,DAVA,ENDAVA PLC -ADR,224
03405490,XYF,X FINANCIAL -ADR,225
03406690,YI,111 INC -ADR,226
03406790,NIO,NIO INC -ADR,227
03406890,VIOT,VIOMI TECHNOLOGY -ADR,228
03407490,QTT,QUTOUTIAO INC -ADR,229
03413390,LKCO.1,LUOKUNG TECHNOLOGY CORP,230
03418690,CTK,COOTEK CAYMAN I -ADR,231
03421290,LAIX,LAIX INC - ADR,232
03427090,NIU,NIU TECHNOLOGIES -ADR,233
03427890,MSC,STUDIO CTY INT HDGS LTD-ADR,234
03432890,TC,TUANCHE CO LTD -ADR,235
03436190,ORTX,ORCHARD THRPUTCS PLC -ADR,236
03437990,CNF,CNFINANCE HLDGS LTD -ADR,237
03441190,MOGU,MOGU INC -ADR,238
03441390,WEI,WEIDAI LTD -ADR,239
03449690,TME,TENCENT MUSIC ENNT GRP -ADR,240
03452590,QFIN,360 DIGITECH INC -ADR,241
03457190,JFIN,JIAYIN GROUP INC,242
03459390,MITO,STEALTH BIOTHERA -ADR,243
03460290,PUYI,PUYI INC -ADR,244
03460390,FUTU,FUTU HOLDINGS LTD -ADR,245
03486390,TIGR,UP FINTECH HOLDIN -ADR,246
03491690,RUHN,RUHNN HOLDING LTD -ADR,247
03496590,JMIA,JUMIA TECHNOLOGIE -ADR,248
03500790,YJ,YUNJI INC -ADR,249
03505990,SY,SO-YOUNG INTERNATIONAL INC,250
03513290,HHR,HEADHUNTER GROUP PLC -ADR,251
03513790,BCYC,BICYCLE THERAPEUTICS PLC,252
03520790,GSX,GSX TECHEDU INC -ADR,253
03531390,CIH,CHINA INDEX HLD LTD -ADR,254
03532290,WSG,WANDA SPRT GP CO -ADR,255
03533190,HKIB,AMTD INTERNATIONAL INC,256
03539990,WIMI,WIMI HOLOGRAM CLOUD INC -ADS,257
03541990,DOYU,DOUYU INTL HLDINGS LTD -ADR,258
03545890,JFU,9F INC -ADR,259
03564190,HUIZ,HUIZE HOLDING LTD -ADR,260
03565390,BNTX,BIONTECH SE,261
03573090,AIH,AESTHETIC MD INT -ADS,262
03573190,DAO,YOUDAO INC -ADS,263
03573390,KRKR,36KR HOLDINGS INC -ADS,264
03574890,QK,Q&K INTL GROUP LTD -ADS,265
03576290,DUO,FANGDD NET GP LTD -ADS,266
03583190,ANPC,ANPAC BIO-MEDICAL SCI -ADS,267
03583290,EH,EHANG HOLDINGS LTD -ADS,268
03583390,MOHO,ECMOHO LTD -ADS,269
03583690,IMAB,I-MAB -ADS,270
03583790,CAN,CANAAN INC,271
03585890,OCFT,ONECONNECT FIN TECH -ADS,272
03589090,GTH,GENETRON HOLD LTD -ADS,273
03599490,MKD,MOLECULAR DATA INC -ADS,274
03604890,LIZI,LIZHI INC -ADS,275
03605490,DNK,PHOENIX TREE HOLD -ADS,276
03633090,LI,LI AUTO INC -ADR,277
03639590,KC,KINGSOFT CLOUD HO -ADR,278
03644490,UCL,UCLOUDLINK GR INC -ADR,279
03647190,BNR,BURNING RO BI LIM -ADR,280
03647790,DADA,DADA NEXUS LTD -ADR,281
03648290,LEGN,LEGEND BIOTEC COR -ADR,282
03656990,QH,QUHUO LTD -ADR,283
03657090,API,AGORA INC -ADR,284
03661690,BLCT,BLUECITY HOLDI LI -ADR,285
03661890,LGHL,LION GROUP HOLDING LTD -ADS,286
03677090,FRLN,FREELINE THER PLC -ADR,287
03679890,BEKE,KE HOLDINGS INC -ADR,288
03697590,CMPS,COMPASS PATHWAYS PLC -ADR,289
03703290,VIAO,VIA OPTRONICS AG -ADS,290
03706190,YALA,YALLA GROUP LTD -ADR,291
03708590,BQ,BOQII HOLDING LTD -ADR,292
03710190,CD,CHINDATA GROUP HOLD LTD -ADR,293
03711490,LXEH,LIXIANG EDUCATIO CO LTD -ADR,294
03715790,MNSO,MINISO GR HOL LTD -ADR,295
03715990,IH,IHUMAN INC -ADR,296
03723390,LU,LUFAX HOLDING LTD -ADR,297
03738890,YQ,17 EDUCATION & TE -ADR,298
03739390,YSG,YATSEN HOLDING LTD -ADR,299
03739490,OZON,OZON HOLDINGS PLC,300
03742990,SOS,SOS LTD -ADR,301
03755290,MRM,MEDIR HEA TEC INC -ADR -REDH,302
06084491,CEPU,CENTRAL PUERTO SA,303
06121490,ASML,ASML HOLDING NV,304
06143790,DER.1,DE RIGO SPA  -ADR,305
06154890,TLK,TELEKOMUNIKASI INDONESIA,306
06159990,SLGK,SLG REALISATIONS PLC,307
06160490,AED.3,BANCO DE A EDWARDS SA,308
06161690,E,ENI SPA,309
06176190,EKT,GRUPO ELEKTRA SA DE CV,310
06190290,NICE,NICE LTD,311
06234490,LIHR.,LIHIR GOLD LTD,312
06240390,FLB.1,FLETCHER BUILDING LTD,313
06240490,FEG.1,FLETCHER CHALLENGE ENERGY,314
06248990,ORNGY,ORANGE PLC,315
06263190,PFP.1,PREMIER FARNELL PLC,316
06300590,AVDL,AVADEL PHARMACEUTICALS -ADR,317
06305590,MATV,HOT TELECOMMUNICATION SYS,318
06320590,TDP,TELEFONICA DEL PERU SA,319
06390490,CBD,COMPANHIA BRASILEIRA DE DIST,320
06398190,SWLDY,SMALLWORLDWIDE PLC  -ADR,321
06398790,OVIP,VEON LTD,322
06398791,VIP.T,VEON LTD,323
06398793,VEON,VEON LTD,324
06402490,VNT.1,CANTV-CA NAC TELEFONOS VENEZ,325
06405790,BCOR.,BIACORE INTL AB,326
06411090,COLT,COLT GROUP SA,327
06414690,ABG.2,GROUPE AB SA,328
06418190,TNT.2,TATNEFT PJSC,329
06431390,DCS.1,DONCASTERS PLC  -ADR,330
06433690,CEA,CHINA EASTERN AIRLINES CORP,331
06438690,ILOG,ILOG SA,332
06442090,IONA,IONA TECHNOLOGIES PLC,333
06453990,CRGI.,CORGI INTERNATIONAL LTD,334
06469490,CWZ.,CABLE & WIRELESS COMMUNICATN,335
06470590,DOCD,EASE2PAY NV,336
06483590,RYAAY,RYANAIR HOLDINGS PLC,337
06496590,BYH,SINOPEC BEIJING YANHUA PETRO,338
06498190,LQ.1,QUINENCO SA,339
06518990,EDAP,EDAP TMS SA  -ADR,340
06524890,MT,ARCELORMITTAL,341
06525290,WCRX.,WARNER CHILCOTT PLC -ADR-OLD,342
06529290,TZA.1,TV AZTECA SA DE CV,343
06532090,EURO.,EUROTRUST A/S  -ADR -OLD,344
06566290,CHL,CHINA MOBILE LTD,345
06579490,ESAT,ESAT TELECOM GROUP,346
06603690,SSA,SAATCHI & SAATCHI PLC,347
10001190,AED.4,ALLIED DOMECQ PLC,348
10001191,AED.1,ALLIED DOMECQ PLC,349
10007591,RENX,RELX NV,350
10011492,MRCIY,TELENT PLC,351
10033892,RELX,RELX PLC,352
10042390,AHM.2,AMERSHAM PLC,353
10046590,SSL,SASOL LTD,354
10047790,JHX,JAMES HARDIE INDUSTRIES PLC,355
10057290,PSO,PEARSON PLC,356
10059890,XLL,EXEL PLC,357
10059990,CXP.1,CORPORATE EXPRESS NV,358
10071891,TAK,TAKEDA PHARMACEUTICAL CO LTD,359
10078190,DEG,DELHAIZE GROUP - ETS DLHZ FR,360
10086290,ADO,ADECCO GROUP AG,361
10095690,SWMAY.1,SWEDISH MATCH AB,362
10120490,SNY,SANOFI,363
10120491,SNY.T,SANOFI,364
10125690,FPHC,FISHER & PAYKEL HEALTHCARE,365
10126490,V.5,VIVENDI SA,366
10127691,STLA,STELLANTIS NV,367
10128990,FIN.,PETROFINA,368
10131090,NVS,NOVARTIS AG,369
10131790,SNN,SMITH & NEPHEW PLC,370
10135290,ALU,ALCATEL-LUCENT,371
10135293,ALA.P,ALCATEL-LUCENT,372
10168990,SAESY,SAES GETTERS SPA,373
10193690,ENO.1,ENODIS PLC,374
10197390,TRMD.2,TORM PLC,375
10204590,SRA.2,MERCK SERONO SA,376
10234190,HMY,HARMONY GOLD MINING CO LTD,377
10253490,NRW,NCL HOLDING ASA,378
10312390,PWG,POWERGEN PLC,379
10334190,SPI.3,SCOTTISH POWER PLC,380
10348790,SAP,SAP SE,381
10459890,PKX,POSCO,382
10508996,CX,CEMEX SAB DE CV,383
10508997,CX.XB,CEMEX SAB DE CV,384
10917990,ARMH,ARM HOLDINGS PLC,385
10930190,IAAB,INDIGO AVIATION AB  -ADR,386
11116890,TIMHY,TIM HELLAS TELECOMM SA,387
11269490,ENT.4,EQUANT NV,388
11711690,KZIA,KAZIA THERAPEUTICS LTD,389
12195790,EIR.1,EIRCOM PLC,390
12229790,FREE.1,ORANGE UK,391
12233791,NTIAY,NETIA S.A,392
12404990,TTPA,TRINTECH GROUP PLC,393
12461790,UGP,ULTRAPAR PARTICIPACOES SA,394
12523990,SIFY,SIFY TECHNOLOGIES LTD -ADR,395
12537890,PTNR,PARTNER COMMUNICATIONS CO,396
12559990,CHRT,CHARTERED SEMICONDUCTOR MFG,397
12586391,TMS.P,TECHNICOLOR SA,398
12646190,TRRA,TERRA NETWORKS SA,399
12671690,NNDS,NDS GROUP HLDGS LTD,400
12860090,PZE.2,PETROBRAS ENERGIA PARTICIPAC,401
13259890,CRFH,E MACHITOWN CO LTD,402
13280090,LMIN,LASTMINUTE.COM PLC,403
13310490,KT,KT CORP,404
13387090,PTR,PETROCHINA CO LTD,405
13706690,CHU,CHINA UNICOM (HONG KONG) LTD,406
13743390,MBT,MOBILE TELESYSTEMS PJSC,407
13743590,NTES,NETEASE INC,408
13761190,SOHU,SOHU COM LTD,409
13761290,TKC,TURKCELL ILETISIM HIZMET,410
13794490,GGAL,GRUPO FINANCIERO GALICIA SA,411
13800390,GMNI.,GEMINI GENOMICS PLC  -ADR,412
13874490,LEON.1,4BASEBIO AG,413
13896190,OIIM,O2MICRO INTERNATIONAL LTD,414
14004590,ASR,GRUPO AEROPORTUARIO SURESTE,415
14044790,NSK,NEW SKIES SATELLITES HLDGS,416
14075690,SNP,CHINA PETROLEUM & CHEM CORP,417
14079690,ALAO,ALCATEL ADS OPTRONICS,418
14082190,POC.2,CARNIVAL CORP/PLC (GBR),419
14107690,IFCN,INFICON HOLDING AG,420
14115890,IRCP,IRSA PROPIEDADES COMERCIALES,421
14124390,TEM.1,TELEFONICA MOVILES SA,422
14146890,GEMP.1,GEMPLUS INTERNATIONAL SA,423
14224890,AMX,AMERICA MOVIL SA DE CV,424
14224891,AMOV,AMERICA MOVIL SA DE CV,425
14254090,CEO,CNOOC LTD,426
14453590,HDB,HDFC BANK LTD,427
14593390,OOM,O2 PLC,428
14635290,ACH,ALUMINUM CORP CHINA LTD,429
14720290,WBD,WIMM BILL DANN FOODS,430
15175090,WMC.1,WMC RESOURCES LTD,431
15193390,TS,TENARIS SA,432
15331190,MLB.2,MITCHELLS & BUTLER PLC,433
15741390,TCOM,TRIP COM GROUP LTD,434
16062890,GOL,GOL LINHAS AEREAS INTELIGENT,435
16063190,KZ,KONGZHONG CORP -ADR,436
16073990,LPL,LG DISPLAY CO LTD,437
16085590,JOBS,51JOB INC  -ADR,438
16185790,HTX,HUTCHISON TELECOMMUNICATION,439
16192590,JRJC,CHINA FINANCE ONLINE CO LTD,440
16202890,LONG,ELONG INC,441
16207790,CN.1,CHINA NETCOM GROUP CORP,442
16224090,NINE.1,NINETOWNS INTERNET TECH -ADR,443
16240890,NCTY,THE9 LTD -ADR,444
16275790,KUTV,KU6 MEDIA CO LTD  -ADR,445
16281490,GRVY,GRAVITY CO LTD -ADR,446
16421190,SIMO,SILICON MOTION TECH -ADR,447
16428390,FMCN,FOCUS MEDIA HOLDING LTD,448
16453290,BIDU,BAIDU INC,449
16553490,VIMC,VIMICRO INTL CORP -ADR,450
16555590,ACTS,ACTIONS SEMICNDCTR LTD -ADR,451
16592790,TX,TERNIUM SA -ADR,452
16638590,PAC,GRUPO AEROPORTUARIO DEL PACI,453
16670690,GRRF,CHINA GRENTECH CORP LTD -ADR,454
17076190,VIPS,VIPSHOP HOLDINGS LTD,455
17087590,AQ.1,ACQUITY GROUP LTD  -ADR,456
17096090,EVAC,EDWARDS GROUP LTD  -ADR,457
17526490,WNS,WNS (HOLDINGS) LTD -ADR,458
17544290,EDU,NEW ORIENTAL ED & TECH,459
17561290,MR.1,MINDRAY MEDICAL INTL,460
17590490,HMIN,HOMEINNS HOTEL GROUP,461
17615290,OMAB,GRUPO AEROPORTUARIO DEL CENT,462
17626090,MLCO,MELCO RESORTS & ENTERTAINMEN,463
17626190,TSL,TRINA SOLAR LTD,464
17627490,GLS,GENESIS LEASE LTD -ADR,465
17630590,HQCL,HANWHA Q CELLS CO LTD,466
17666090,SSRX,3SBIO INC,467
17666190,JASO,JA SOLAR HOLDINGS CO LTD,468
17695190,TCM,TONGJITANG CHINESE MEDS -ADR,469
17712990,SCR,SIMCERE PHARMACEUTICAL GROUP,470
17734090,ATV,ACORN INTERNATIONAL INC -ADR,471
17778190,SPRD,SPREADTRUM COMMUNICATNS -ADR,472
17801290,PWRD,PERFECT WORLD CO LTD,473
17809390,EJ,E-HOUSE CHINA HOLDINGS  -ADR,474
17810690,WX,WUXI PHARMATECH (CAYMAN)-ADR,475
17837790,SPI.4,SPI ENERGY CO LTD,476
17840590,FLY,FLY LEASING LTD  -ADR,477
17860990,NED,NOAH EDUCATION HOLDINGS -ADR,478
17875090,FANH,FANHUA INC -ADS,479
17876590,GA,GIANT INTERACTIVE GROUP -ADR,480
17879590,GRO,AGRIA CORP -ADS,481
17879690,ANTE,AIRNET TECHNOLOGY INC-ADS,482
17883890,NPD,CHINA NEPSTAR CHAIN DRUG-ADS,483
17897590,VISN,VISIONCHINA MEDIA INC,484
17902290,CEDU,CHINAEDU CORP -ADR,485
17902890,VIT,VANCEINFO TECHNOLOGIES -ADR,486
17902990,XIN,XINYUAN REAL ESTATE CO -ADR,487
17908190,GU,GUSHAN ENVIRONMNTL ENRGY-ADR,488
17930090,AACG,ATA CREATIVITY GLOBAL -ADS,489
17937990,BCDS.1,BCD SEMICONDUCTOR MFG  -ADR,490
18018191,TII.A,TELMEX INTERNACIONAL SAB DE,491
18041390,DL,CHINA DISTANCE EDUCATION-ADR,492
18270090,CYOU,CHANGYOU.COM LTD,493
18304190,CPC.3,CHEMSPEC INTL LTD  -ADR,494
18355390,GAME,SHANDA GAMES LTD  -ADR,495
18370690,CRIC,CHINA REAL ESTATE INFO  -ADR,496
18388990,SVN,7 DAYS GROUP HLDGS LTD  -ADR,497
18389690,CCM,CONCORD MEDICAL SVCS  -ADR,498
18390490,NKBP,CHINA NUOKANG BIO-PHARMA-ADR,499
18401890,CHC,CHINA HYDROELECTRIC CORP-ADR,500
18415590,DQ,DAQO NEW ENERGY CORP,501
18418290,JKS,JINKOSOLAR HOLDING CO,502
18445390,HTHT,HUAZHU GROUP LTD,503
18467290,CHRM,CHARM COMMUNICATIONS INC,504
18468090,KONE.1,KINGTONE WIRELESS  -ADR -OLD,505
18508790,AMAP,AUTONAVI HLDG LTD,506
18512190,PACT,PACTERA TECHNOLOGY INTL,507
18516690,CIS,CAMELOT INFO SYSTEMS INC-ADR,508
18526390,AMBO,AMBOW EDUCATION HLDGS,509
18530790,KH,CHINA KANGHUI HOLDINGS -ADR,510
18535390,OSN,OSSEN INNOVATION CO LTD -ADR,511
18552490,CCSC,COUNTRY STYLE COOK,512
18552590,MY,CHINA MING YANG WIND PWR-ADR,513
18555090,SFUN,FANG HOLDINGS LTD,514
18557590,GEDU,GLB EDUCATION & TECH -ADR,515
18565890,SHP,SHANGPHARMA CORP -ADR,516
18568590,MCOX,MECOX LANE LTD,517
18569990,GAGA,LE GAGA HOLDINGS LTD  -ADR,518
18573290,XUE,XUEDA EDUCATION GROUP  -ADR,519
18573390,TAL,TAL EDUCATION GROUP,520
18578390,NOAH,NOAH HOLDINGS LTD  -ADR,521
18578490,RDA,RDA MICROELECTRONCS INC -ADR,522
18583790,BITA,BITAUTO HOLDINGS LTD  -ADR,523
18585490,SYSW,SYSWIN INC  -ADR,524
18585590,XNY.1,CHINA XINIYA FASHN -ADR -OLD,525
18588690,TUDO,TUDOU HOLDINGS LTD  -ADR,526
18591290,YOKU,YOUKU TUDOU INC,527
18592890,DANG,E-COMMERCE CH DANGDANG -ADR,528
18592990,BONA,BONA FILM GROUP LTD -ADR,529
18594490,MOBI,SKY-MOBI LTD  -ADR,530
18604190,ISS,ISOFTSTONE HOLDINGS LTD -ADR,531
18671790,QIHU,360 SECURITY TECHNOLOGY INC,532
18671890,LKM,LINK MOTION INC -ADR,533
18687690,VNET,21VIANET GROUP INC,534
18696290,SQNS,SEQUANS COMMUNICATIONS SA,535
